Domain,Hierarchy,Themes
Unconventional Beliefs,Unconventional Beliefs/Supernatural Beliefs,Signs
Unconventional Beliefs,Unconventional Beliefs,Supernatural Beliefs
Unconventional Beliefs,Unconventional Beliefs,Superstitious
Unconventional Beliefs,-,Unconventional Attribution
Unconventional Beliefs,-,Unconventional Beliefs
Unconventional Beliefs,-,Unconventional Experiences/Abilities
Responses/Consequences,-,Distress
Influential Beliefs,Beliefs About Symptoms,Uncontrollable
Strategies and Protective Factors,Help-Seeking,Mental Health Care
Strategies and Protective Factors,Help-Seeking,Seeks Social Support
Self Originated Influences,Related to Mental Health Diagnosis,Due to Neurodivergence
