Release,File,Download,Category,Type
5.0,Administrative Imaging Tables,https://pub-b7c7cae63bc24750af5a1f9ed7e788a7.r2.dev/5.0/imaging/5.0_Administrative_Imaging_Tables.pdf,Imaging,Release note
5.0,Behavioral Performance During Task-Based fMRI,https://pub-b7c7cae63bc24750af5a1f9ed7e788a7.r2.dev/5.0/imaging/5.0_Behavioral_Performance_During_Task-Based_fMRI.pdf,Imaging,Release note
5.0,Diffusion Magnetic Resonance Imaging,https://pub-b7c7cae63bc24750af5a1f9ed7e788a7.r2.dev/5.0/imaging/5.0_Diffusion_Magnetic_Resonance_Imaging.pdf,Imaging,Release note
5.0,Imaging Overview,https://pub-b7c7cae63bc24750af5a1f9ed7e788a7.r2.dev/5.0/imaging/5.0_Imaging_Overview.pdf,Imaging,Release note
5.0,MRI Quality Control & Recommended Image Inclusion Criteria,https://pub-b7c7cae63bc24750af5a1f9ed7e788a7.r2.dev/5.0/imaging/5.0_MRI_Quality_Control_&_Recommended_Image_Inclusion_Criteria.pdf,Imaging,Release note
5.0,Resting-State Magnetic Resonance Imaging,https://pub-b7c7cae63bc24750af5a1f9ed7e788a7.r2.dev/5.0/imaging/5.0_Resting-State_Magnetic_Resonance_Imaging.pdf,Imaging,Release note
5.0,Structural Magnetic Resonance Imaging,https://pub-b7c7cae63bc24750af5a1f9ed7e788a7.r2.dev/5.0/imaging/5.0_Structural_Magnetic_Resonance_Imaging.pdf,Imaging,Release note
5.0,Supplementary Imaging Tables,https://pub-b7c7cae63bc24750af5a1f9ed7e788a7.r2.dev/5.0/imaging/5.0_Supplementary_Imaging_Tables.pdf,Imaging,Accessory file
5.0,Task-Based Functional Magnetic Resonance Imaging,https://pub-b7c7cae63bc24750af5a1f9ed7e788a7.r2.dev/5.0/imaging/5.0_Task-Based_Functional_Magnetic_Resonance_Imaging.pdf,Imaging,Release note
5.0,COVID Rapid Response Research (RRR) Survey,https://pub-b7c7cae63bc24750af5a1f9ed7e788a7.r2.dev/5.0/substudies/5.0_COVID_Rapid_Response_Research_(RRR)_Survey.pdf,Substudy,Release note
5.0,Endocannabinoid (eCB) Substudy,https://pub-b7c7cae63bc24750af5a1f9ed7e788a7.r2.dev/5.0/substudies/5.0_Endocannabinoid_(eCB)_Substudy.pdf,Substudy,Release note
5.0,Social Development Substudy,https://pub-b7c7cae63bc24750af5a1f9ed7e788a7.r2.dev/5.0/substudies/5.0_Social_Development_Substudy.pdf,Substudy,Release note
4.0,Release Notes ABCD README FIRST,https://pub-b7c7cae63bc24750af5a1f9ed7e788a7.r2.dev/4.0/NDA_4.0_Release_Notes_ABCD_README_FIRST.pdf,Readme,Release note
4.0,Culture and Environment,https://pub-b7c7cae63bc24750af5a1f9ed7e788a7.r2.dev/4.0/NDA_4.0_Culture_and_Environment.pdf,Non-imaging,Release note
4.0,Gender Identity Sexual Health,https://pub-b7c7cae63bc24750af5a1f9ed7e788a7.r2.dev/4.0/NDA_4.0_Gender_Identity_Sexual_Health.pdf,Non-imaging,Release note
4.0,Genetics,https://pub-b7c7cae63bc24750af5a1f9ed7e788a7.r2.dev/4.0/NDA_4.0_Genetics.pdf,Non-imaging,Release note
4.0,Linked External Data (LED),https://pub-b7c7cae63bc24750af5a1f9ed7e788a7.r2.dev/4.0/NDA_4.0_Linked_External_Data_(LED).pdf,Non-imaging,Release note
4.0,Mental Health,https://pub-b7c7cae63bc24750af5a1f9ed7e788a7.r2.dev/4.0/NDA_4.0_Mental_Health.pdf,Non-imaging,Release note
4.0,Mobile Tech,https://pub-b7c7cae63bc24750af5a1f9ed7e788a7.r2.dev/4.0/NDA_4.0_Mobile_Tech.pdf,Non-imaging,Release note
4.0,Neurocognition,https://pub-b7c7cae63bc24750af5a1f9ed7e788a7.r2.dev/4.0/NDA_4.0_Neurocognition.pdf,Non-imaging,Release note
4.0,Physical Health,https://pub-b7c7cae63bc24750af5a1f9ed7e788a7.r2.dev/4.0/NDA_4.0_Physical_Health.pdf,Non-imaging,Release note
4.0,Substance Use,https://pub-b7c7cae63bc24750af5a1f9ed7e788a7.r2.dev/4.0/NDA_4.0_Substance_Use.pdf,Non-imaging,Release note
4.0,Release Notes Imaging Instruments,https://pub-b7c7cae63bc24750af5a1f9ed7e788a7.r2.dev/4.0/NDA_4.0_Release_Notes_Imaging_Instruments.pdf,Imaging,Release note
4.0,Behavioral Performance During task-fMRI,https://pub-b7c7cae63bc24750af5a1f9ed7e788a7.r2.dev/4.0/NDA_4.0_Behavioral_Performance_During_task-fMRI.pdf,Imaging,Release note
4.0,Diffusion Magnetic Resonance Imaging,https://pub-b7c7cae63bc24750af5a1f9ed7e788a7.r2.dev/4.0/NDA_4.0_Diffusion_Magnetic_Resonance_Imaging.pdf,Imaging,Release note
4.0,MRI Quality Control Recommended Inclusion,https://pub-b7c7cae63bc24750af5a1f9ed7e788a7.r2.dev/4.0/NDA_4.0_MRI_Quality_Control_Recommended_Inclusion.pdf,Imaging,Release note
4.0,Resting-State Functional Magnetic Resonance Imaging,https://pub-b7c7cae63bc24750af5a1f9ed7e788a7.r2.dev/4.0/NDA_4.0_Resting-State_Functional_Magnetic_Resonance_Imaging.pdf,Imaging,Release note
4.0,Structural Magnetic Resonance Imaging,https://pub-b7c7cae63bc24750af5a1f9ed7e788a7.r2.dev/4.0/NDA_4.0_Structural_Magnetic_Resonance_Imaging.pdf,Imaging,Release note
4.0,Task-Based Functional Magnetic Resonance Imaging,https://pub-b7c7cae63bc24750af5a1f9ed7e788a7.r2.dev/4.0/NDA_4.0_Task-Based_Functional_Magnetic_Resonance_Imaging.pdf,Imaging,Release note
4.0,Trial Level Behavioral Data,https://pub-b7c7cae63bc24750af5a1f9ed7e788a7.r2.dev/4.0/NDA_4.0_Trial_Level_Behavioral_Data.pdf,Imaging,Release note
4.0,PrePostScan Questionnaires,https://pub-b7c7cae63bc24750af5a1f9ed7e788a7.r2.dev/4.0/NDA_4.0_PrePostScan_Questionnaires.pdf,Imaging,Release note
4.0,Other Imaging Instruments,https://pub-b7c7cae63bc24750af5a1f9ed7e788a7.r2.dev/4.0/NDA_4.0_Other_Imaging_Instruments.pdf,Imaging,Release note
4.0,Supplementary Imaging Tables,https://pub-b7c7cae63bc24750af5a1f9ed7e788a7.r2.dev/4.0/NDA_4.0_Supplementary_Imaging_Tables.pdf,Imaging,Accessory file
4.0,COVID Rapid Response Research (RRR) Release Notes,https://pub-b7c7cae63bc24750af5a1f9ed7e788a7.r2.dev/4.0/NDA_4.0_COVID_Rapid_Response_Research_(RRR)_Second_Data_Release_Release_Notes.pdf,Substudy,Release note
3.0,Release Notes ABCD README FIRST,https://pub-b7c7cae63bc24750af5a1f9ed7e788a7.r2.dev/3.0/NDA_3.0_Release_Notes_ABCD_README_FIRST.pdf,Readme,Release note
3.0,Culture and Environment,https://pub-b7c7cae63bc24750af5a1f9ed7e788a7.r2.dev/3.0/NDA_3.0_Culture_and_Environment.pdf,Non-imaging,Release note
3.0,Genetics,https://pub-b7c7cae63bc24750af5a1f9ed7e788a7.r2.dev/3.0/NDA_3.0_Genetics.pdf,Non-imaging,Release note
3.0,Mental Health,https://pub-b7c7cae63bc24750af5a1f9ed7e788a7.r2.dev/3.0/NDA_3.0_Mental_Health.pdf,Non-imaging,Release note
3.0,Mobile Tech,https://pub-b7c7cae63bc24750af5a1f9ed7e788a7.r2.dev/3.0/NDA_3.0_Mobile_Tech.pdf,Non-imaging,Release note
3.0,Neurocognition,https://pub-b7c7cae63bc24750af5a1f9ed7e788a7.r2.dev/3.0/NDA_3.0_Neurocognition.pdf,Non-imaging,Release note
3.0,Physical Health,https://pub-b7c7cae63bc24750af5a1f9ed7e788a7.r2.dev/3.0/NDA_3.0_Physical_Health.pdf,Non-imaging,Release note
3.0,Substance Use,https://pub-b7c7cae63bc24750af5a1f9ed7e788a7.r2.dev/3.0/NDA_3.0_Substance_Use.pdf,Non-imaging,Release note
3.0,Release Notes Imaging Instruments,https://pub-b7c7cae63bc24750af5a1f9ed7e788a7.r2.dev/3.0/NDA_3.0_Release_Notes_Imaging_Instruments.pdf,Imaging,Release note
3.0,Behavioral Performance During task-fMRI,https://pub-b7c7cae63bc24750af5a1f9ed7e788a7.r2.dev/3.0/NDA_3.0_Behavioral_Performance_During_task-fMRI.pdf,Imaging,Release note
3.0,Diffusion Magnetic Resonance Imaging,https://pub-b7c7cae63bc24750af5a1f9ed7e788a7.r2.dev/3.0/NDA_3.0_Diffusion_Magnetic_Resonance_Imaging.pdf,Imaging,Release note
3.0,MRI Quality Control Recommended Inclusion,https://pub-b7c7cae63bc24750af5a1f9ed7e788a7.r2.dev/3.0/NDA_3.0_MRI_Quality_Control_Recommended_Inclusion.pdf,Imaging,Release note
