id_app,tm_created,_change_type
com.wssyncmldm,2021-04-23T00:00:00Z,NA
org.chromium.webapk.a01684c55bfc38659,2021-04-23T00:00:00Z,NA
com.android.hotwordenrollment.okgoogle,2021-04-23T00:00:00Z,NA
com.android.htmlviewer,2021-04-23T00:00:00Z,NA
com.andromo.dev890403.app1031059,2021-04-23T00:00:00Z,NA
com.google.android.apps.work.oobconfig,2021-04-23T00:00:00Z,NA
com.google.android.captiveportallogin,2021-04-23T00:00:00Z,NA
com.google.android.gsf,2021-04-23T00:00:00Z,NA
com.google.android.markup,2021-04-23T00:00:00Z,NA
com.google.android.permissioncontroller,2021-04-23T00:00:00Z,NA
com.google.android.settings.intelligence,2021-04-23T00:00:00Z,NA
com.google.android.soundpicker,2021-04-23T00:00:00Z,NA
com.jrdcom.Elabel,2021-04-23T00:00:00Z,NA
com.lge.bnr.launcher,2021-04-23T00:00:00Z,NA
com.lge.hotspotlauncher,2021-04-23T00:00:00Z,NA
com.lge.lgcontentsetting,2021-04-23T00:00:00Z,NA
com.lge.lgdmsclientspr,2021-04-23T00:00:00Z,NA
com.lge.lgmapui,2021-04-23T00:00:00Z,NA
com.lge.penprime,2021-04-23T00:00:00Z,NA
com.lge.privacylock,2021-04-23T00:00:00Z,NA
com.lge.upsell,2021-04-23T00:00:00Z,NA
com.lge.wfcconnectivity,2021-04-23T00:00:00Z,NA
com.lge.wfcsettings,2021-04-23T00:00:00Z,NA
com.lge.wificall,2021-04-23T00:00:00Z,NA
com.metro.simlock,2021-04-23T00:00:00Z,NA
com.motorola.carriersettingsext,2021-04-23T00:00:00Z,NA
com.motorola.lifetimedata,2021-04-23T00:00:00Z,NA
com.nuance.swype.input,2021-04-23T00:00:00Z,NA
com.oem.smartwifisupport,2021-04-23T00:00:00Z,NA
com.samsung.accessibility,2021-04-23T00:00:00Z,NA
com.samsung.android.app.appsedge,2021-04-23T00:00:00Z,NA
com.samsung.android.app.cocktailbarservice,2021-04-23T00:00:00Z,NA
com.samsung.android.bio.face.service,2021-04-23T00:00:00Z,NA
com.samsung.android.sm,2021-04-23T00:00:00Z,NA
com.samsung.networkui,2021-04-23T00:00:00Z,NA
com.sec.android.app.simsettingmgr,2021-04-23T00:00:00Z,NA
com.sec.android.app.taskmanager,2021-04-23T00:00:00Z,NA
com.sec.android.app.vepreload,2021-04-23T00:00:00Z,NA
com.sec.android.app.wallpaperchooser,2021-04-23T00:00:00Z,NA
com.sec.android.app.wfdbroker,2021-04-23T00:00:00Z,NA
com.sec.hiddenmenu,2021-04-23T00:00:00Z,NA
com.sec.omadmspr,2021-04-23T00:00:00Z,NA
com.sprint.w.v8,2021-04-23T00:00:00Z,NA
com.tcl.ota,2021-04-23T00:00:00Z,NA
com.vlingo.midas,2021-04-23T00:00:00Z,NA
com.zte.camera,2021-04-23T00:00:00Z,NA
com.zte.wallpaper,2021-04-23T00:00:00Z,NA
de.codenauts.hockeyapp,2021-04-23T00:00:00Z,NA
com.lge.themesquare,2021-04-23T00:00:00Z,NA
com.lge.wallpaperpicker,2021-04-23T00:00:00Z,NA
com.motorola.invisiblenet,2021-04-23T00:00:00Z,NA
com.samsung.android.authfw,2021-04-23T00:00:00Z,NA
com.sec.android.app.launcher,2021-04-23T00:00:00Z,NA
com.tct.launcher,2021-04-23T00:00:00Z,NA
com.bestanime.wallpaper,2021-04-23T00:00:00Z,NA
com.google.android.gms,2021-04-23T00:00:00Z,NA
com.mizmowireless.acctmgt,2021-04-23T00:00:00Z,NA
com.adriadevs.screenlock.ios.keypad.timepassword,2021-04-23T00:00:00Z,NA
com.antivirus,2021-04-23T00:00:00Z,NA
com.att.swipe.assistivetouch,2021-04-23T00:00:00Z,NA
com.cleanmaster.mguard,2021-04-23T00:00:00Z,NA
com.freevpn.unblock.proxy,2021-04-23T00:00:00Z,NA
com.google.android.apps.nexuslauncher,2021-04-23T00:00:00Z,NA
com.google.android.apps.pixelmigrate,2021-04-23T00:00:00Z,NA
com.google.android.tts,2021-04-23T00:00:00Z,NA
com.google.intelligence.sense,2021-04-23T00:00:00Z,NA
hotspotshield.android.vpn,2021-04-23T00:00:00Z,NA
org.android.kunulee.podsmaster,2021-04-23T00:00:00Z,NA
com.google.android.documentsui,2021-04-23T00:00:00Z,NA
com.hancom.office.editor.hidden,2021-04-23T00:00:00Z,NA
com.ironsource.appcloud.oobe,2021-04-23T00:00:00Z,NA
com.jrdcom.jrdwfcmanager,2021-04-23T00:00:00Z,NA
com.lge.gametuner,2021-04-23T00:00:00Z,NA
com.motorola.entitlement,2021-04-23T00:00:00Z,NA
com.samsung.android.fast,2021-04-23T00:00:00Z,NA
com.samsung.android.keyguardwallpaperupdator,2021-04-23T00:00:00Z,NA
com.samsung.android.mdecservice,2021-04-23T00:00:00Z,NA
com.samsung.android.sconnect,2021-04-23T00:00:00Z,NA
com.samsung.android.service.aircommand,2021-04-23T00:00:00Z,NA
com.samsung.android.spdclient,2021-04-23T00:00:00Z,NA
com.samsung.tmowfc.wfcpref,2021-04-23T00:00:00Z,NA
com.sec.android.easysidepanel,2021-04-23T00:00:00Z,NA
com.sec.android.mimage.avatarstickers,2021-04-23T00:00:00Z,NA
com.sprint.dsa,2021-04-23T00:00:00Z,NA
animewallpapers.ruslan.com.animewallpapers,2021-04-23T00:00:00Z,NA
com.digitalcosmos.shimeji,2021-04-23T00:00:00Z,NA
com.drweb,2021-04-23T00:00:00Z,NA
com.psafe.msuite,2021-04-23T00:00:00Z,NA
lemon.kettle.tea.cup,2021-04-23T00:00:00Z,NA
