name,name_nda (previously used),name_nda (correct),label (correct)
mr_y_rsfmri__corr__gpnet__aseg__cip__th__lh_mean,rsfmri_cor_ngd_au_scs_hprh,rsfmri_cor_ngd_copa_scs_thplh,Average correlation between Gordon network: cingulo-parietal & Subcortical ROI: thalamus (left hemisphere)
mr_y_rsfmri__corr__gpnet__aseg__cip__vdc__lh_mean,rsfmri_cor_ngd_none_scs_bs,rsfmri_cor_ngd_copa_scs_vtdclh,Average correlation between Gordon network: cingulo-parietal & Subcortical ROI: ventral diencephalon (left hemisphere)
mr_y_rsfmri__corr__gpnet__aseg__def__ab__lh_mean,rsfmri_cor_ngd_fopa_scs_cderh,rsfmri_cor_ngd_df_scs_aalh,Average correlation between Gordon network: default & Subcortical ROI: accumbens area (left hemisphere)
mr_y_rsfmri__corr__gpnet__aseg__def__ag__lh_mean,rsfmri_cor_ngd_dsa_scs_vtdcrh,rsfmri_cor_ngd_df_scs_aglh,Average correlation between Gordon network: default & Subcortical ROI: amygdala (left hemisphere)
mr_y_rsfmri__corr__gpnet__aseg__def__cbc__lh_mean,rsfmri_cor_ngd_au_scs_ptlh,rsfmri_cor_ngd_df_scs_crcxlh,Average correlation between Gordon network: default & Subcortical ROI: cerebellum cortex (left hemisphere)
mr_y_rsfmri__corr__gpnet__aseg__def__cd__lh_mean,rsfmri_cor_ngd_cerc_scs_crcxrh,rsfmri_cor_ngd_df_scs_cdelh,Average correlation between Gordon network: default & Subcortical ROI: caudate (left hemisphere)
mr_y_rsfmri__corr__gpnet__aseg__def__hc__lh_mean,rsfmri_cor_ngd_dsa_scs_bs,rsfmri_cor_ngd_df_scs_hplh,Average correlation between Gordon network: default & Subcortical ROI: hippocampus (left hemisphere)
mr_y_rsfmri__corr__gpnet__aseg__def__pl__lh_mean,rsfmri_cor_ngd_copa_scs_aarh,rsfmri_cor_ngd_df_scs_pllh,Average correlation between Gordon network: default & Subcortical ROI: pallidum (left hemisphere)
mr_y_rsfmri__corr__gpnet__aseg__def__pt__lh_mean,rsfmri_cor_ngd_copa_scs_pllh,rsfmri_cor_ngd_df_scs_ptlh,Average correlation between Gordon network: default & Subcortical ROI: putamen (left hemisphere)
mr_y_rsfmri__corr__gpnet__aseg__def__th__lh_mean,rsfmri_cor_ngd_au_scs_agrh,rsfmri_cor_ngd_df_scs_thplh,Average correlation between Gordon network: default & Subcortical ROI: thalamus (left hemisphere)
mr_y_rsfmri__corr__gpnet__aseg__def__vdc__lh_mean,rsfmri_cor_ngd_none_scs_hplh,rsfmri_cor_ngd_df_scs_vtdclh,Average correlation between Gordon network: default & Subcortical ROI: ventral diencephalon (left hemisphere)
mr_y_rsfmri__corr__gpnet__aseg__doa__ab__lh_mean,rsfmri_cor_ngd_fopa_scs_ptrh,rsfmri_cor_ngd_dsa_scs_aalh,Average correlation between Gordon network: dorsal attention & Subcortical ROI: accumbens area (left hemisphere)
mr_y_rsfmri__corr__gpnet__aseg__doa__ag__lh_mean,rsfmri_cor_ngd_fopa_scs_crcxlh,rsfmri_cor_ngd_dsa_scs_aglh,Average correlation between Gordon network: dorsal attention & Subcortical ROI: amygdala (left hemisphere)
mr_y_rsfmri__corr__gpnet__aseg__doa__cbc__lh_mean,rsfmri_cor_ngd_au_scs_pllh,rsfmri_cor_ngd_dsa_scs_crcxlh,Average correlation between Gordon network: dorsal attention & Subcortical ROI: cerebellum cortex (left hemisphere)
mr_y_rsfmri__corr__gpnet__aseg__doa__cd__lh_mean,rsfmri_cor_ngd_cerc_scs_thprh,rsfmri_cor_ngd_dsa_scs_cdelh,Average correlation between Gordon network: dorsal attention & Subcortical ROI: caudate (left hemisphere)
mr_y_rsfmri__corr__gpnet__aseg__doa__hc__lh_mean,rsfmri_cor_ngd_dsa_scs_hplh,rsfmri_cor_ngd_dsa_scs_hplh,Average correlation between Gordon network: dorsal attention & Subcortical ROI: hippocampus (left hemisphere)
mr_y_rsfmri__corr__gpnet__aseg__doa__pl__lh_mean,rsfmri_cor_ngd_copa_scs_vtdcrh,rsfmri_cor_ngd_dsa_scs_pllh,Average correlation between Gordon network: dorsal attention & Subcortical ROI: pallidum (left hemisphere)
mr_y_rsfmri__corr__gpnet__aseg__doa__pt__lh_mean,rsfmri_cor_ngd_copa_scs_bs,rsfmri_cor_ngd_dsa_scs_ptlh,Average correlation between Gordon network: dorsal attention & Subcortical ROI: putamen (left hemisphere)
mr_y_rsfmri__corr__gpnet__aseg__doa__th__lh_mean,rsfmri_cor_ngd_au_scs_aarh,rsfmri_cor_ngd_dsa_scs_thplh,Average correlation between Gordon network: dorsal attention & Subcortical ROI: thalamus (left hemisphere)
mr_y_rsfmri__corr__gpnet__aseg__doa__vdc__lh_mean,rsfmri_cor_ngd_none_scs_aglh,rsfmri_cor_ngd_dsa_scs_vtdclh,Average correlation between Gordon network: dorsal attention & Subcortical ROI: ventral diencephalon (left hemisphere)
mr_y_rsfmri__corr__gpnet__aseg__frp__ab__lh_mean,rsfmri_cor_ngd_fopa_scs_plrh,rsfmri_cor_ngd_fopa_scs_aalh,Average correlation between Gordon network: fronto-parietal & Subcortical ROI: accumbens area (left hemisphere)
mr_y_rsfmri__corr__gpnet__aseg__frp__ag__lh_mean,rsfmri_cor_ngd_fopa_scs_thplh,rsfmri_cor_ngd_fopa_scs_aglh,Average correlation between Gordon network: fronto-parietal & Subcortical ROI: amygdala (left hemisphere)
mr_y_rsfmri__corr__gpnet__aseg__frp__cbc__lh_mean,rsfmri_cor_ngd_au_scs_bs,rsfmri_cor_ngd_fopa_scs_crcxlh,Average correlation between Gordon network: fronto-parietal & Subcortical ROI: cerebellum cortex (left hemisphere)
mr_y_rsfmri__corr__gpnet__aseg__frp__cd__lh_mean,rsfmri_cor_ngd_cerc_scs_cderh,rsfmri_cor_ngd_fopa_scs_cdelh,Average correlation between Gordon network: fronto-parietal & Subcortical ROI: caudate (left hemisphere)
mr_y_rsfmri__corr__gpnet__aseg__frp__hc__lh_mean,rsfmri_cor_ngd_dsa_scs_aglh,rsfmri_cor_ngd_fopa_scs_hplh,Average correlation between Gordon network: fronto-parietal & Subcortical ROI: hippocampus (left hemisphere)
mr_y_rsfmri__corr__gpnet__aseg__frp__pl__lh_mean,rsfmri_cor_ngd_df_scs_crcxlh,rsfmri_cor_ngd_fopa_scs_pllh,Average correlation between Gordon network: fronto-parietal & Subcortical ROI: pallidum (left hemisphere)
mr_y_rsfmri__corr__gpnet__aseg__frp__pt__lh_mean,rsfmri_cor_ngd_copa_scs_hplh,rsfmri_cor_ngd_fopa_scs_ptlh,Average correlation between Gordon network: fronto-parietal & Subcortical ROI: putamen (left hemisphere)
mr_y_rsfmri__corr__gpnet__aseg__frp__th__lh_mean,rsfmri_cor_ngd_au_scs_vtdcrh,rsfmri_cor_ngd_fopa_scs_thplh,Average correlation between Gordon network: fronto-parietal & Subcortical ROI: thalamus (left hemisphere)
mr_y_rsfmri__corr__gpnet__aseg__frp__vdc__lh_mean,rsfmri_cor_ngd_none_scs_aalh,rsfmri_cor_ngd_fopa_scs_vtdclh,Average correlation between Gordon network: fronto-parietal & Subcortical ROI: ventral diencephalon (left hemisphere)
mr_y_rsfmri__corr__gpnet__aseg__non__ab__lh_mean,rsfmri_cor_ngd_fopa_scs_hprh,rsfmri_cor_ngd_none_scs_aalh,Average correlation between Gordon network: none & Subcortical ROI: accumbens area (left hemisphere)
mr_y_rsfmri__corr__gpnet__aseg__non__ag__lh_mean,rsfmri_cor_ngd_fopa_scs_cdelh,rsfmri_cor_ngd_none_scs_aglh,Average correlation between Gordon network: none & Subcortical ROI: amygdala (left hemisphere)
mr_y_rsfmri__corr__gpnet__aseg__non__cbc__lh_mean,rsfmri_cor_ngd_au_scs_hplh,rsfmri_cor_ngd_none_scs_crcxlh,Average correlation between Gordon network: none & Subcortical ROI: cerebellum cortex (left hemisphere)
mr_y_rsfmri__corr__gpnet__aseg__non__cd__lh_mean,rsfmri_cor_ngd_cerc_scs_ptrh,rsfmri_cor_ngd_none_scs_cdelh,Average correlation between Gordon network: none & Subcortical ROI: caudate (left hemisphere)
mr_y_rsfmri__corr__gpnet__aseg__non__hc__lh_mean,rsfmri_cor_ngd_dsa_scs_aalh,rsfmri_cor_ngd_none_scs_hplh,Average correlation between Gordon network: none & Subcortical ROI: hippocampus (left hemisphere)
mr_y_rsfmri__corr__gpnet__aseg__non__pl__lh_mean,rsfmri_cor_ngd_df_scs_thplh,rsfmri_cor_ngd_none_scs_pllh,Average correlation between Gordon network: none & Subcortical ROI: pallidum (left hemisphere)
mr_y_rsfmri__corr__gpnet__aseg__non__pt__lh_mean,rsfmri_cor_ngd_copa_scs_aglh,rsfmri_cor_ngd_none_scs_ptlh,Average correlation between Gordon network: none & Subcortical ROI: putamen (left hemisphere)
mr_y_rsfmri__corr__gpnet__aseg__non__th__lh_mean,rsfmri_cor_ngd_cerc_scs_crcxlh,rsfmri_cor_ngd_none_scs_thplh,Average correlation between Gordon network: none & Subcortical ROI: thalamus (left hemisphere)
mr_y_rsfmri__corr__gpnet__aseg__non__vdc__lh_mean,rsfmri_cor_ngd_none_scs_vtdclh,rsfmri_cor_ngd_none_scs_vtdclh,Average correlation between Gordon network: none & Subcortical ROI: ventral diencephalon (left hemisphere)
