table_name,name,name_nda,value_old,value_new,label
sdev_y_vict,sdev_y_vict_015__l,socialdev_cvict_p6_l,999,444,I have never dated (not applicable)
sdev_y_vict,sdev_y_vict_016,socialdev_cvict_p7,98,999,I don't know
sdev_y_vict,sdev_y_vict_016,socialdev_cvict_p7,99,777,I'd rather not say
sdev_y_vict,sdev_y_vict_016__03,socialdev_cvict_p7_c,98,999,I don't know
sdev_y_vict,sdev_y_vict_016__03,socialdev_cvict_p7_c,99,777,I'd rather not say
sdev_y_vict,sdev_y_vict_016__05,socialdev_cvict_p7_e,98,999,I don't know
sdev_y_vict,sdev_y_vict_016__05,socialdev_cvict_p7_e,99,777,I'd rather not say
sdev_y_vict,sdev_y_vict_016__05__l,socialdev_cvict_p7_e_l,98,999,I don't know
sdev_y_vict,sdev_y_vict_016__05__l,socialdev_cvict_p7_e_l,99,777,I'd rather not say
sdev_y_vict,sdev_y_vict_016__l,socialdev_cvict_p7_l,98,999,I don't know
sdev_y_vict,sdev_y_vict_016__l,socialdev_cvict_p7_l,99,777,I'd rather not say
sdev_y_vict,sdev_y_vict_017,socialdev_cvict_p8,98,999,I don't know
sdev_y_vict,sdev_y_vict_017,socialdev_cvict_p8,99,777,I'd rather not say
sdev_y_vict,sdev_y_vict_017__03,socialdev_cvict_p8_c,98,999,I don't know
sdev_y_vict,sdev_y_vict_017__03,socialdev_cvict_p8_c,99,777,I'd rather not say
sdev_y_vict,sdev_y_vict_017__05,socialdev_cvict_p8_e,98,999,I don't know
sdev_y_vict,sdev_y_vict_017__05,socialdev_cvict_p8_e,99,777,I'd rather not say
sdev_y_vict,sdev_y_vict_017__05__l,socialdev_cvict_p8_e_l,98,999,I don't know
sdev_y_vict,sdev_y_vict_017__05__l,socialdev_cvict_p8_e_l,99,777,I'd rather not say
sdev_y_vict,sdev_y_vict_017__l,socialdev_cvict_p8_l,98,999,I don't know
sdev_y_vict,sdev_y_vict_017__l,socialdev_cvict_p8_l,99,777,I'd rather not say
sdev_y_vict,sdev_y_vict_018,socialdev_cvict_w1,98,999,I don't know
sdev_y_vict,sdev_y_vict_018,socialdev_cvict_w1,99,777,I'd rather not say
sdev_y_vict,sdev_y_vict_018__03,socialdev_cvict_w1_c,98,999,I don't know
sdev_y_vict,sdev_y_vict_018__03,socialdev_cvict_w1_c,99,777,I'd rather not say
sdev_y_vict,sdev_y_vict_018__05,socialdev_cvict_w1_e,98,999,I don't know
sdev_y_vict,sdev_y_vict_018__05,socialdev_cvict_w1_e,99,777,I'd rather not say
sdev_y_vict,sdev_y_vict_018__05__l,socialdev_cvict_w1_e_l,98,999,I don't know
sdev_y_vict,sdev_y_vict_018__05__l,socialdev_cvict_w1_e_l,99,777,I'd rather not say
sdev_y_vict,sdev_y_vict_018__23,socialdev_cvict_w1_p,98,999,I don't know
sdev_y_vict,sdev_y_vict_018__23,socialdev_cvict_w1_p,99,777,I'd rather not say
sdev_y_vict,sdev_y_vict_018__23__l,socialdev_cvict_w1_p_l,98,999,I don't know
sdev_y_vict,sdev_y_vict_018__23__l,socialdev_cvict_w1_p_l,99,777,I'd rather not say
sdev_y_vict,sdev_y_vict_018__l,socialdev_cvict_w1_l,98,999,I don't know
sdev_y_vict,sdev_y_vict_018__l,socialdev_cvict_w1_l,99,777,I'd rather not say
sdev_y_vict,sdev_y_vict_019,socialdev_cvict_w2,98,999,I don't know
sdev_y_vict,sdev_y_vict_019,socialdev_cvict_w2,99,777,I'd rather not say
sdev_y_vict,sdev_y_vict_019,socialdev_cvict_w2,999,444,I don't have any brothers or sisters
sdev_y_vict,sdev_y_vict_019__03,socialdev_cvict_w2_c,98,999,I don't know
sdev_y_vict,sdev_y_vict_019__03,socialdev_cvict_w2_c,99,777,I'd rather not say
sdev_y_vict,sdev_y_vict_019__05,socialdev_cvict_w2_e,98,999,I don't know
sdev_y_vict,sdev_y_vict_019__05,socialdev_cvict_w2_e,99,777,I'd rather not say
sdev_y_vict,sdev_y_vict_019__05__l,socialdev_cvict_w2_e_l,98,999,I don't know
sdev_y_vict,sdev_y_vict_019__05__l,socialdev_cvict_w2_e_l,99,777,I'd rather not say
sdev_y_vict,sdev_y_vict_019__24,socialdev_cvict_w2_p,98,999,I don't know
sdev_y_vict,sdev_y_vict_019__24,socialdev_cvict_w2_p,99,777,I'd rather not say
sdev_y_vict,sdev_y_vict_019__24__l,socialdev_cvict_w2_p_l,98,999,I don't know
sdev_y_vict,sdev_y_vict_019__24__l,socialdev_cvict_w2_p_l,99,777,I'd rather not say
sdev_y_vict,sdev_y_vict_019__l,socialdev_cvict_w2_l,98,999,I don't know
sdev_y_vict,sdev_y_vict_019__l,socialdev_cvict_w2_l,99,777,I'd rather not say
sdev_y_vict,sdev_y_vict_019__l,socialdev_cvict_w2_l,999,444,I don't have any siblings
sdev_y_vict,sdev_y_vict_020,socialdev_cvict_w3,98,999,I don't know
sdev_y_vict,sdev_y_vict_020,socialdev_cvict_w3,99,777,I'd rather not say
sdev_y_vict,sdev_y_vict_020__03,socialdev_cvict_w3_c,98,999,I don't know
sdev_y_vict,sdev_y_vict_020__03,socialdev_cvict_w3_c,99,777,I'd rather not say
sdev_y_vict,sdev_y_vict_020__05,socialdev_cvict_w3_e,98,999,I don't know
sdev_y_vict,sdev_y_vict_020__05,socialdev_cvict_w3_e,99,777,I'd rather not say
sdev_y_vict,sdev_y_vict_020__05__l,socialdev_cvict_w3_e_l,98,999,I don't know
sdev_y_vict,sdev_y_vict_020__05__l,socialdev_cvict_w3_e_l,99,777,I'd rather not say
sdev_y_vict,sdev_y_vict_020__25,socialdev_cvict_w3_o,98,999,I don't know
sdev_y_vict,sdev_y_vict_020__25,socialdev_cvict_w3_o,99,777,I'd rather not say
sdev_y_vict,sdev_y_vict_020__25__l,socialdev_cvict_w3_o_l,98,999,I don't know
sdev_y_vict,sdev_y_vict_020__25__l,socialdev_cvict_w3_o_l,99,777,I'd rather not say
sdev_y_vict,sdev_y_vict_020__26,socialdev_cvict_w3_p,98,999,I don't know
sdev_y_vict,sdev_y_vict_020__26,socialdev_cvict_w3_p,99,777,I'd rather not say
sdev_y_vict,sdev_y_vict_020__26__l,socialdev_cvict_w3_p_l,98,999,I don't know
sdev_y_vict,sdev_y_vict_020__26__l,socialdev_cvict_w3_p_l,99,777,I'd rather not say
sdev_y_vict,sdev_y_vict_020__l,socialdev_cvict_w3_l,98,999,I don't know
sdev_y_vict,sdev_y_vict_020__l,socialdev_cvict_w3_l,99,777,I'd rather not say
sdev_y_vict,sdev_y_vict_021,socialdev_cvict_w4,98,999,I don't know
sdev_y_vict,sdev_y_vict_021,socialdev_cvict_w4,99,777,I'd rather not say
sdev_y_vict,sdev_y_vict_021__03,socialdev_cvict_w4_c,98,999,I don't know
sdev_y_vict,sdev_y_vict_021__03,socialdev_cvict_w4_c,99,777,I'd rather not say
sdev_y_vict,sdev_y_vict_021__05,socialdev_cvict_w4_e,98,999,I don't know
sdev_y_vict,sdev_y_vict_021__05,socialdev_cvict_w4_e,99,777,I'd rather not say
sdev_y_vict,sdev_y_vict_021__05__l,socialdev_cvict_w4_e_l,98,999,I don't know
sdev_y_vict,sdev_y_vict_021__05__l,socialdev_cvict_w4_e_l,99,777,I'd rather not say
sdev_y_vict,sdev_y_vict_021__26,socialdev_cvict_w4_o,98,999,I don't know
