name,label,type_data,type_level
eb_all_lminc_avg_2021,"log of median income, eb estimate, all families, 2005-09, 2010-14 & 2015-19 avg in 2021",double,ratio
eb_all_lminc_avg_2022,"log of median income, eb estimate, all families, 2005-09, 2010-14 & 2015-19 avg in 2022",double,ratio
eb_all_lminc_avg_2023,"log of median income, eb estimate, all families, 2005-09, 2010-14 & 2015-19 avg in 2023",double,ratio
eb_all_lminc_avg_2024,"log of median income, eb estimate, all families, 2005-09, 2010-14 & 2015-19 avg in 2024",double,ratio
eb_all_college_avg_rate_2019,"ba+ rate, eb estimate, all families, 2005-09, 2010-14 & 2015-19 avg in 2019",double,ratio
eb_all_college_avg_rate_2020,"ba+ rate, eb estimate, all families, 2005-09, 2010-14 & 2015-19 avg in 2020",double,ratio
eb_all_college_avg_rate_2021,"ba+ rate, eb estimate, all families, 2005-09, 2010-14 & 2015-19 avg in 2021",double,ratio
eb_all_college_avg_rate_2022,"ba+ rate, eb estimate, all families, 2005-09, 2010-14 & 2015-19 avg in 2022",double,ratio
eb_all_college_avg_rate_2023,"ba+ rate, eb estimate, all families, 2005-09, 2010-14 & 2015-19 avg in 2023",double,ratio
eb_all_college_avg_rate_2024,"ba+ rate, eb estimate, all families, 2005-09, 2010-14 & 2015-19 avg in 2024",double,ratio
eb_all_unemp_avg_rate_2019,"unemployment rate, eb estimate, all families, 2005-09, 2010-14 & 2015-19 avg in 2019",double,ratio
eb_all_unemp_avg_rate_2020,"unemployment rate, eb estimate, all families, 2005-09, 2010-14 & 2015-19 avg in 2020",double,ratio
eb_all_unemp_avg_rate_2021,"unemployment rate, eb estimate, all families, 2005-09, 2010-14 & 2015-19 avg in 2021",double,ratio
eb_all_unemp_avg_rate_2022,"unemployment rate, eb estimate, all families, 2005-09, 2010-14 & 2015-19 avg in 2022",double,ratio
eb_all_unemp_avg_rate_2023,"unemployment rate, eb estimate, all families, 2005-09, 2010-14 & 2015-19 avg in 2023",double,ratio
eb_all_unemp_avg_rate_2024,"unemployment rate, eb estimate, all families, 2005-09, 2010-14 & 2015-19 avg in 2024",double,ratio
eb_all_snap_avg_rate_2019,"snap receipt rate, eb estimate, all families, 2005-09, 2010-14 & 2015-19 avg in 2019",double,ratio
