name_filebased,label,type_var,type_data,type_level
ols_nec_diff_impact_2019_2022,"Difference in Administrative District Math-RLA Difference, Math & RLA, OL, CS between 2019 and 2022 for not economically disadvantaged",summary score,double,ratio
eb_all_avg_impact_2019_2022,"Difference in Administrative District Average Test Score, Math & RLA, EB, CS between 2019 and 2022 for all students",summary score,double,ratio
eb_fem_avg_impact_2019_2022,"Difference in Administrative District Average Test Score, Math & RLA, EB, CS between 2019 and 2022 for female students",summary score,double,ratio
eb_mal_avg_impact_2019_2022,"Difference in Administrative District Average Test Score, Math & RLA, EB, CS between 2019 and 2022 for male students",summary score,double,ratio
eb_ecd_avg_impact_2019_2022,"Difference in Administrative District Average Test Score, Math & RLA, EB, CS between 2019 and 2022 for econonomically disadvantaged students",summary score,double,ratio
eb_nec_avg_impact_2019_2022,"Difference in Administrative District Average Test Score, Math & RLA, EB, CS between 2019 and 2022 for not economically disadvantaged",summary score,double,ratio
eb_all_diff_impact_2019_2022,"Difference in Administrative District Math-RLA Difference, Math & RLA, EB, CS between 2019 and 2022 for all students",summary score,double,ratio
eb_fem_diff_impact_2019_2022,"Difference in Administrative District Math-RLA Difference, Math & RLA, EB, CS between 2019 and 2022 for female students",summary score,double,ratio
eb_mal_diff_impact_2019_2022,"Difference in Administrative District Math-RLA Difference, Math & RLA, EB, CS between 2019 and 2022 for male students",summary score,double,ratio
eb_ecd_diff_impact_2019_2022,"Difference in Administrative District Math-RLA Difference, Math & RLA, EB, CS between 2019 and 2022 for econonomically disadvantaged students",summary score,double,ratio
eb_nec_diff_impact_2019_2022,"Difference in Administrative District Math-RLA Difference, Math & RLA, EB, CS between 2019 and 2022 for not economically disadvantaged",summary score,double,ratio
ols_all_avg_impact_2022_2024,"Difference in Administrative District Average Test Score, Math & RLA, OL, CS between 2022 and 2024 for all students",summary score,double,ratio
ols_fem_avg_impact_2022_2024,"Difference in Administrative District Average Test Score, Math & RLA, OL, CS between 2022 and 2024 for female students",summary score,double,ratio
ols_mal_avg_impact_2022_2024,"Difference in Administrative District Average Test Score, Math & RLA, OL, CS between 2022 and 2024 for male students",summary score,double,ratio
ols_ecd_avg_impact_2022_2024,"Difference in Administrative District Average Test Score, Math & RLA, OL, CS between 2022 and 2024 for econonomically disadvantaged students",summary score,double,ratio
ols_nec_avg_impact_2022_2024,"Difference in Administrative District Average Test Score, Math & RLA, OL, CS between 2022 and 2024 for not economically disadvantaged",summary score,double,ratio
ols_all_diff_impact_2022_2024,"Difference in Administrative District Math-RLA Difference, Math & RLA, OL, CS between 2022 and 2024 for all students",summary score,double,ratio
ols_fem_diff_impact_2022_2024,"Difference in Administrative District Math-RLA Difference, Math & RLA, OL, CS between 2022 and 2024 for female students",summary score,double,ratio
ols_mal_diff_impact_2022_2024,"Difference in Administrative District Math-RLA Difference, Math & RLA, OL, CS between 2022 and 2024 for male students",summary score,double,ratio
ols_ecd_diff_impact_2022_2024,"Difference in Administrative District Math-RLA Difference, Math & RLA, OL, CS between 2022 and 2024 for econonomically disadvantaged students",summary score,double,ratio
ols_nec_diff_impact_2022_2024,"Difference in Administrative District Math-RLA Difference, Math & RLA, OL, CS between 2022 and 2024 for not economically disadvantaged",summary score,double,ratio
eb_all_avg_impact_2022_2024,"Difference in Administrative District Average Test Score, Math & RLA, EB, CS between 2022 and 2024 for all students",summary score,double,ratio
eb_fem_avg_impact_2022_2024,"Difference in Administrative District Average Test Score, Math & RLA, EB, CS between 2022 and 2024 for female students",summary score,double,ratio
eb_mal_avg_impact_2022_2024,"Difference in Administrative District Average Test Score, Math & RLA, EB, CS between 2022 and 2024 for male students",summary score,double,ratio
eb_ecd_avg_impact_2022_2024,"Difference in Administrative District Average Test Score, Math & RLA, EB, CS between 2022 and 2024 for econonomically disadvantaged students",summary score,double,ratio
eb_nec_avg_impact_2022_2024,"Difference in Administrative District Average Test Score, Math & RLA, EB, CS between 2022 and 2024 for not economically disadvantaged",summary score,double,ratio
eb_all_diff_impact_2022_2024,"Difference in Administrative District Math-RLA Difference, Math & RLA, EB, CS between 2022 and 2024 for all students",summary score,double,ratio
eb_fem_diff_impact_2022_2024,"Difference in Administrative District Math-RLA Difference, Math & RLA, EB, CS between 2022 and 2024 for female students",summary score,double,ratio
eb_mal_diff_impact_2022_2024,"Difference in Administrative District Math-RLA Difference, Math & RLA, EB, CS between 2022 and 2024 for male students",summary score,double,ratio
eb_ecd_diff_impact_2022_2024,"Difference in Administrative District Math-RLA Difference, Math & RLA, EB, CS between 2022 and 2024 for econonomically disadvantaged students",summary score,double,ratio
eb_nec_diff_impact_2022_2024,"Difference in Administrative District Math-RLA Difference, Math & RLA, EB, CS between 2022 and 2024 for not economically disadvantaged",summary score,double,ratio
ols_all_avg_impact_2019_2024,"Difference in Administrative District Average Test Score, Math & RLA, OL, CS between 2019 and 2024 for all students",summary score,double,ratio
ols_fem_avg_impact_2019_2024,"Difference in Administrative District Average Test Score, Math & RLA, OL, CS between 2019 and 2024 for female students",summary score,double,ratio
ols_mal_avg_impact_2019_2024,"Difference in Administrative District Average Test Score, Math & RLA, OL, CS between 2019 and 2024 for male students",summary score,double,ratio
ols_ecd_avg_impact_2019_2024,"Difference in Administrative District Average Test Score, Math & RLA, OL, CS between 2019 and 2024 for econonomically disadvantaged students",summary score,double,ratio
ols_nec_avg_impact_2019_2024,"Difference in Administrative District Average Test Score, Math & RLA, OL, CS between 2019 and 2024 for not economically disadvantaged",summary score,double,ratio
ols_all_diff_impact_2019_2024,"Difference in Administrative District Math-RLA Difference, Math & RLA, OL, CS between 2019 and 2024 for all students",summary score,double,ratio
ols_fem_diff_impact_2019_2024,"Difference in Administrative District Math-RLA Difference, Math & RLA, OL, CS between 2019 and 2024 for female students",summary score,double,ratio
ols_mal_diff_impact_2019_2024,"Difference in Administrative District Math-RLA Difference, Math & RLA, OL, CS between 2019 and 2024 for male students",summary score,double,ratio
ols_ecd_diff_impact_2019_2024,"Difference in Administrative District Math-RLA Difference, Math & RLA, OL, CS between 2019 and 2024 for econonomically disadvantaged students",summary score,double,ratio
ols_nec_diff_impact_2019_2024,"Difference in Administrative District Math-RLA Difference, Math & RLA, OL, CS between 2019 and 2024 for not economically disadvantaged",summary score,double,ratio
eb_all_avg_impact_2019_2024,"Difference in Administrative District Average Test Score, Math & RLA, EB, CS between 2019 and 2024 for all students",summary score,double,ratio
eb_fem_avg_impact_2019_2024,"Difference in Administrative District Average Test Score, Math & RLA, EB, CS between 2019 and 2024 for female students",summary score,double,ratio
eb_mal_avg_impact_2019_2024,"Difference in Administrative District Average Test Score, Math & RLA, EB, CS between 2019 and 2024 for male students",summary score,double,ratio
eb_ecd_avg_impact_2019_2024,"Difference in Administrative District Average Test Score, Math & RLA, EB, CS between 2019 and 2024 for econonomically disadvantaged students",summary score,double,ratio
eb_nec_avg_impact_2019_2024,"Difference in Administrative District Average Test Score, Math & RLA, EB, CS between 2019 and 2024 for not economically disadvantaged",summary score,double,ratio
eb_all_diff_impact_2019_2024,"Difference in Administrative District Math-RLA Difference, Math & RLA, EB, CS between 2019 and 2024 for all students",summary score,double,ratio
eb_fem_diff_impact_2019_2024,"Difference in Administrative District Math-RLA Difference, Math & RLA, EB, CS between 2019 and 2024 for female students",summary score,double,ratio
eb_mal_diff_impact_2019_2024,"Difference in Administrative District Math-RLA Difference, Math & RLA, EB, CS between 2019 and 2024 for male students",summary score,double,ratio
