name_filebased,label,type_var,type_data,type_level
eb_all_lminc_avg_2021,"log of median income, eb estimate, all families, 2005-09, 2010-14 & 2015-19 avg in 2021",summary score,double,ratio
eb_all_lminc_avg_2022,"log of median income, eb estimate, all families, 2005-09, 2010-14 & 2015-19 avg in 2022",summary score,double,ratio
eb_all_lminc_avg_2023,"log of median income, eb estimate, all families, 2005-09, 2010-14 & 2015-19 avg in 2023",summary score,double,ratio
eb_all_lminc_avg_2024,"log of median income, eb estimate, all families, 2005-09, 2010-14 & 2015-19 avg in 2024",summary score,double,ratio
eb_all_college_avg_rate_2019,"ba+ rate, eb estimate, all families, 2005-09, 2010-14 & 2015-19 avg in 2019",summary score,double,ratio
eb_all_college_avg_rate_2020,"ba+ rate, eb estimate, all families, 2005-09, 2010-14 & 2015-19 avg in 2020",summary score,double,ratio
eb_all_college_avg_rate_2021,"ba+ rate, eb estimate, all families, 2005-09, 2010-14 & 2015-19 avg in 2021",summary score,double,ratio
eb_all_college_avg_rate_2022,"ba+ rate, eb estimate, all families, 2005-09, 2010-14 & 2015-19 avg in 2022",summary score,double,ratio
eb_all_college_avg_rate_2023,"ba+ rate, eb estimate, all families, 2005-09, 2010-14 & 2015-19 avg in 2023",summary score,double,ratio
eb_all_college_avg_rate_2024,"ba+ rate, eb estimate, all families, 2005-09, 2010-14 & 2015-19 avg in 2024",summary score,double,ratio
eb_all_unemp_avg_rate_2019,"unemployment rate, eb estimate, all families, 2005-09, 2010-14 & 2015-19 avg in 2019",summary score,double,ratio
eb_all_unemp_avg_rate_2020,"unemployment rate, eb estimate, all families, 2005-09, 2010-14 & 2015-19 avg in 2020",summary score,double,ratio
eb_all_unemp_avg_rate_2021,"unemployment rate, eb estimate, all families, 2005-09, 2010-14 & 2015-19 avg in 2021",summary score,double,ratio
eb_all_unemp_avg_rate_2022,"unemployment rate, eb estimate, all families, 2005-09, 2010-14 & 2015-19 avg in 2022",summary score,double,ratio
eb_all_unemp_avg_rate_2023,"unemployment rate, eb estimate, all families, 2005-09, 2010-14 & 2015-19 avg in 2023",summary score,double,ratio
eb_all_unemp_avg_rate_2024,"unemployment rate, eb estimate, all families, 2005-09, 2010-14 & 2015-19 avg in 2024",summary score,double,ratio
eb_all_snap_avg_rate_2019,"snap receipt rate, eb estimate, all families, 2005-09, 2010-14 & 2015-19 avg in 2019",summary score,double,ratio
eb_all_snap_avg_rate_2020,"snap receipt rate, eb estimate, all families, 2005-09, 2010-14 & 2015-19 avg in 2020",summary score,double,ratio
eb_all_snap_avg_rate_2021,"snap receipt rate, eb estimate, all families, 2005-09, 2010-14 & 2015-19 avg in 2021",summary score,double,ratio
eb_all_snap_avg_rate_2022,"snap receipt rate, eb estimate, all families, 2005-09, 2010-14 & 2015-19 avg in 2022",summary score,double,ratio
eb_all_snap_avg_rate_2023,"snap receipt rate, eb estimate, all families, 2005-09, 2010-14 & 2015-19 avg in 2023",summary score,double,ratio
eb_all_snap_avg_rate_2024,"snap receipt rate, eb estimate, all families, 2005-09, 2010-14 & 2015-19 avg in 2024",summary score,double,ratio
eb_all_poverty_avg_rate_2019,"poverty rate, eb estimate, all families, 2005-09, 2010-14 & 2015-19 avg in 2019",summary score,double,ratio
eb_all_poverty_avg_rate_2020,"poverty rate, eb estimate, all families, 2005-09, 2010-14 & 2015-19 avg in 2020",summary score,double,ratio
eb_all_poverty_avg_rate_2021,"poverty rate, eb estimate, all families, 2005-09, 2010-14 & 2015-19 avg in 2021",summary score,double,ratio
eb_all_poverty_avg_rate_2022,"poverty rate, eb estimate, all families, 2005-09, 2010-14 & 2015-19 avg in 2022",summary score,double,ratio
eb_all_poverty_avg_rate_2023,"poverty rate, eb estimate, all families, 2005-09, 2010-14 & 2015-19 avg in 2023",summary score,double,ratio
eb_all_poverty_avg_rate_2024,"poverty rate, eb estimate, all families, 2005-09, 2010-14 & 2015-19 avg in 2024",summary score,double,ratio
eb_all_singlmoth_avg_rate_2019,"single mother HH rate, eb estimate, all families, 2005-09, 2010-14 & 2015-19 avg in 2019",summary score,double,ratio
eb_all_singlmoth_avg_rate_2020,"single mother HH rate, eb estimate, all families, 2005-09, 2010-14 & 2015-19 avg in 2020",summary score,double,ratio
eb_all_singlmoth_avg_rate_2021,"single mother HH rate, eb estimate, all families, 2005-09, 2010-14 & 2015-19 avg in 2021",summary score,double,ratio
eb_all_singlmoth_avg_rate_2022,"single mother HH rate, eb estimate, all families, 2005-09, 2010-14 & 2015-19 avg in 2022",summary score,double,ratio
eb_all_singlmoth_avg_rate_2023,"single mother HH rate, eb estimate, all families, 2005-09, 2010-14 & 2015-19 avg in 2023",summary score,double,ratio
eb_all_singlmoth_avg_rate_2024,"single mother HH rate, eb estimate, all families, 2005-09, 2010-14 & 2015-19 avg in 2024",summary score,double,ratio
urban_indicator_2019,urban locale in 2019,summary score,character,nominal
urban_indicator_2020,urban locale in 2020,summary score,character,nominal
urban_indicator_2021,urban locale in 2021,summary score,character,nominal
urban_indicator_2022,urban locale in 2022,summary score,character,nominal
urban_indicator_2023,urban locale in 2023,summary score,character,nominal
urban_indicator_2024,urban locale in 2024,summary score,character,nominal
suburb_indicator_2019,suburban locale in 2019,summary score,character,nominal
suburb_indicator_2020,suburban locale in 2020,summary score,character,nominal
suburb_indicator_2021,suburban locale in 2021,summary score,character,nominal
suburb_indicator_2022,suburban locale in 2022,summary score,character,nominal
suburb_indicator_2023,suburban locale in 2023,summary score,character,nominal
suburb_indicator_2024,suburban locale in 2024,summary score,character,nominal
town_indicator_2019,town locale in 2019,summary score,character,nominal
town_indicator_2020,town locale in 2020,summary score,character,nominal
town_indicator_2021,town locale in 2021,summary score,character,nominal
town_indicator_2022,town locale in 2022,summary score,character,nominal
town_indicator_2023,town locale in 2023,summary score,character,nominal
town_indicator_2024,town locale in 2024,summary score,character,nominal
rural_indicator_2019,rural locale in 2019,summary score,character,nominal
rural_indicator_2020,rural locale in 2020,summary score,character,nominal
rural_indicator_2021,rural locale in 2021,summary score,character,nominal
rural_indicator_2022,rural locale in 2022,summary score,character,nominal
rural_indicator_2023,rural locale in 2023,summary score,character,nominal
rural_indicator_2024,rural locale in 2024,summary score,character,nominal
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
